Learning Rate	Train Loss	Benign Valid Loss	Poisoned Valid Loss	Train ACC.	Benign Valid ACC.	Poisoned Valid ACC.	
0.010000	0.040615	0.289634	0.000594	98.913472	90.730000	100.000000	
0.010000	0.025927	0.293123	0.000387	99.397300	90.800000	100.000000	
0.010000	0.016005	0.294579	0.000258	99.710120	90.950000	100.000000	
0.010000	0.012173	0.297162	0.000421	99.824821	90.890000	100.000000	
0.010000	0.008735	0.301666	0.000250	99.881128	90.890000	100.000000	
0.010000	0.006947	0.304062	0.000362	99.941607	91.060000	100.000000	
0.010000	0.005453	0.303306	0.000432	99.974974	90.780000	100.000000	
0.010000	0.004623	0.303792	0.000385	99.991658	91.060000	100.000000	
0.010000	0.004097	0.302388	0.000433	99.987487	90.980000	100.000000	
0.010000	0.003747	0.300638	0.000371	99.993744	91.080000	100.000000	
0.010000	0.003529	0.301984	0.000580	99.991658	91.020000	100.000000	
0.010000	0.003173	0.303046	0.000423	99.991658	90.820000	100.000000	
0.010000	0.002917	0.299575	0.000420	100.000000	91.060000	100.000000	
0.010000	0.002819	0.301827	0.000398	100.000000	91.060000	100.000000	
0.010000	0.002809	0.297863	0.000535	100.000000	91.240000	100.000000	
0.010000	0.002690	0.299780	0.000409	100.000000	91.300000	100.000000	
0.010000	0.002670	0.298233	0.000468	100.000000	91.230000	100.000000	
0.010000	0.002483	0.296969	0.000433	100.000000	91.220000	100.000000	
0.010000	0.002539	0.298958	0.000586	100.000000	91.150000	100.000000	
0.010000	0.002465	0.297587	0.000486	100.000000	91.270000	100.000000	
0.010000	0.002445	0.296837	0.000499	100.000000	91.350000	100.000000	
0.010000	0.002401	0.297173	0.000585	100.000000	91.270000	100.000000	
0.010000	0.002350	0.296549	0.000453	100.000000	91.230000	100.000000	
0.010000	0.002349	0.296747	0.000514	100.000000	91.200000	100.000000	
0.010000	0.002269	0.295853	0.000486	100.000000	91.390000	100.000000	
0.010000	0.002278	0.294974	0.000589	100.000000	91.250000	100.000000	
0.010000	0.002255	0.295487	0.000641	100.000000	91.400000	100.000000	
0.010000	0.002260	0.294032	0.000544	100.000000	91.270000	100.000000	
0.010000	0.002229	0.295246	0.000669	100.000000	91.400000	100.000000	
0.001000	0.002173	0.294703	0.000485	100.000000	91.370000	100.000000	
0.001000	0.002101	0.295361	0.000538	100.000000	91.300000	100.000000	
0.001000	0.002097	0.294088	0.000460	99.997915	91.330000	100.000000	
0.001000	0.002119	0.293270	0.000632	100.000000	91.360000	100.000000	
0.001000	0.002060	0.293478	0.000576	100.000000	91.390000	100.000000	
0.001000	0.002084	0.293277	0.000706	100.000000	91.330000	100.000000	
0.001000	0.002098	0.292428	0.000676	100.000000	91.350000	100.000000	
0.001000	0.002083	0.293727	0.000584	100.000000	91.360000	100.000000	
0.001000	0.002076	0.295512	0.000477	100.000000	91.390000	100.000000	
0.001000	0.002107	0.292558	0.000501	100.000000	91.390000	100.000000	
0.001000	0.002079	0.295605	0.000568	100.000000	91.480000	100.000000	
0.001000	0.002064	0.294088	0.000519	100.000000	91.410000	100.000000	
0.001000	0.002037	0.293538	0.000616	100.000000	91.360000	100.000000	
0.001000	0.002066	0.294768	0.000514	100.000000	91.300000	100.000000	
0.001000	0.002081	0.293698	0.000405	100.000000	91.420000	100.000000	
0.001000	0.002076	0.293522	0.000598	100.000000	91.430000	100.000000	
0.001000	0.002042	0.293474	0.000585	100.000000	91.390000	100.000000	
0.001000	0.002079	0.294008	0.000633	100.000000	91.430000	100.000000	
0.001000	0.002074	0.294010	0.000585	100.000000	91.470000	100.000000	
0.001000	0.002069	0.293545	0.000485	100.000000	91.390000	100.000000	
